X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1.41004,43.57848,1,50,1,54
0.58263,43.63347,1,50,1,16
-0.38437,44.66369,1,50,1,143
-0.11074,44.85558,1,50,1,272
-0.60819,44.95981,1,50,1,173
-0.16609,44.87881,1,50,1,125
-0.71035,44.95989,1,50,1,139
3.84147,43.60895,1,50,1,102
3.47564,43.31898,1,50,1,190
3.47544,43.31822,1,50,1,12
3.82249,43.63202,1,50,1,182
-1.99572,48.09321,1,50,1,227
-1.94176,47.93002,1,50,1,181
1.73196,46.82023,1,50,1,292
1.69458,46.80363,1,50,1,105
5.99781,45.35882,1,50,1,238
5.59709,45.50973,1,50,1,37
5.45875,46.59775,1,50,1,36
5.31806,46.98057,1,50,1,229
5.50110,46.64125,1,50,1,210
1.36276,47.61473,1,50,1,218
4.10851,46.13823,1,50,1,163
4.28556,45.55697,1,50,1,214
4.24129,45.63222,1,50,1,331
3.86446,45.05515,1,50,1,109
3.88822,45.03917,1,50,1,5
1.89538,47.89774,1,50,1,355
1.89671,47.90506,1,50,1,233
2.75289,47.98191,1,50,1,143
2.75483,47.98083,1,50,1,306
1.88245,47.89798,1,50,1,90
2.75675,47.96948,1,50,1,147
2.75723,47.96905,1,50,1,342
1.40138,44.48156,1,50,1,145
1.37045,44.51202,1,50,1,135
0.16749,44.50246,1,50,1,330
0.72245,44.39845,1,50,1,279
0.64723,44.21179,1,50,1,50
3.45071,44.66132,1,50,1,338
-0.12499,47.19662,1,50,1,200
-0.53322,47.46953,1,50,1,301
-0.50950,47.48871,1,50,1,52
4.01144,49.16222,1,50,1,12
4.31517,48.96239,1,50,1,310
4.58536,48.76373,1,50,1,333
4.09560,49.14953,1,50,1,167
4.39294,48.74047,1,50,2,87
3.61216,48.73181,1,50,1,95
4.00438,49.29021,1,50,1,328
3.60942,48.73204,1,50,1,272
5.14228,48.10530,1,50,1,326
5.48712,48.28515,1,50,1,75
5.31167,47.77231,1,50,1,204
5.33600,47.74707,1,50,1,311
-0.91788,48.29673,1,50,1,261
-0.19705,48.46026,1,50,1,237
-0.75269,48.06905,1,50,1,247
-0.70335,48.03262,1,50,1,309
-0.62062,48.30749,1,50,1,129
6.17658,48.67895,1,50,1,155
6.22479,48.70096,1,50,1,221
5.15281,48.76739,1,50,1,56
5.24008,48.91776,1,50,1,33
5.43474,49.13602,1,50,1,337
5.62548,49.21305,1,50,1,82
5.63003,49.38074,1,50,1,168
5.43523,49.03390,1,50,1,151
5.44051,48.89637,1,50,1,63
6.54936,48.96699,1,50,1,173
6.55045,48.96477,1,50,1,314
3.22744,47.11754,1,50,1,60
3.16680,46.99675,1,50,1,146
3.15694,46.96547,1,50,1,358
3.13258,46.99525,1,50,1,295
3.13948,46.97612,1,50,1,44
3.12135,46.94559,1,50,1,256
3.15811,46.94603,1,50,1,358
3.97727,50.30566,1,50,1,176
3.37317,50.14295,1,50,1,110
2.63179,50.71320,1,50,1,3
2.63179,50.71398,1,50,1,184
2.49148,50.75278,1,50,0,0
3.10087,50.77728,1,50,1,237
1.76887,49.36076,1,50,1,158
2.48198,49.37770,1,50,1,267
2.19781,49.33499,1,50,1,162
2.84998,49.15919,1,50,1,56
1.86484,49.20458,1,50,1,136
2.61929,49.38152,1,50,1,13
2.21331,49.45799,1,50,1,260
3.01012,49.40292,1,50,1,110
2.22640,49.17653,1,50,1,306
1.99173,49.50412,1,50,1,307
1.99168,49.50408,1,50,1,126
2.61139,49.22306,1,50,1,234
1.94342,49.41818,1,50,1,258
3.11047,49.59152,1,50,1,64
1.95514,49.59843,1,50,1,169
0.76113,48.65226,1,50,1,217
0.06902,48.75652,1,50,1,79
2.89489,50.46186,1,50,1,233
3.44015,45.82757,1,50,1,101
3.03912,45.76585,1,50,1,76
-1.56899,43.44980,1,50,1,54
0.07209,43.25692,1,50,1,176
0.43072,43.11678,1,50,1,105
0.06632,43.22004,1,50,1,286
3.03311,42.63782,1,50,1,165
2.88978,42.69424,1,50,1,317
7.78764,48.57235,1,50,1,61
7.78496,48.58575,1,50,1,197
7.32782,48.06840,1,50,1,69
7.35237,47.75795,1,50,1,31
7.10941,48.17144,1,50,1,93
4.84939,45.67970,1,50,1,201
4.83280,45.75195,1,50,1,206
4.84229,45.72317,1,50,1,358
4.90280,45.76514,1,50,1,106
4.85987,45.78248,1,50,2,185
4.87669,45.72297,1,50,1,293
4.86572,45.72599,1,50,1,113
4.82386,45.76734,1,50,1,267
4.95055,45.68421,1,50,1,304
4.83629,45.77269,1,50,1,97
4.82240,45.70111,1,50,1,334
6.28470,47.69641,1,50,1,210
6.37716,47.82881,1,50,1,162
4.36785,46.82433,1,50,1,336
6.23503,46.17679,1,50,1,149
6.23606,46.17564,1,50,1,358
6.09653,46.14496,1,50,1,341
2.37821,48.83674,1,50,1,143
2.30491,48.86461,1,50,1,88
2.34754,48.87911,1,50,1,244
2.35881,48.82098,1,50,1,349
2.35869,48.85273,1,50,1,121
2.35650,48.85380,1,50,1,119
2.40973,48.84723,1,50,2,98
2.40847,48.84723,1,50,1,98
2.37785,48.83700,1,50,1,322
2.35635,48.81600,1,50,1,27
2.33502,48.83711,1,50,1,37
2.39053,48.84077,1,50,1,288
2.36146,48.81621,1,50,1,279
2.36054,48.84711,1,50,1,315
1.07491,49.91392,1,50,1,173
1.84597,48.98977,1,50,1,257
1.93151,48.99568,1,50,1,294
2.13765,48.86747,1,50,1,276
1.61076,49.01935,1,50,1,0
2.09832,48.88670,1,50,1,76
2.05307,48.92463,1,50,1,326
2.12385,48.94256,1,50,1,74
2.16479,48.76377,1,50,1,279
2.12327,48.81716,1,50,1,119
1.85896,48.64268,1,50,1,304
2.10035,48.88703,1,50,1,270
2.14883,48.80975,1,50,1,229
1.90612,48.76603,1,50,1,119
2.13343,48.80511,1,50,1,84
2.13820,48.80548,1,50,1,265
2.10683,48.87761,1,50,1,47
-0.19200,46.41804,1,50,1,245
-0.20987,46.96330,1,50,1,348
-0.43122,46.31701,1,50,1,267
5.93095,43.12944,1,50,1,266
5.81246,43.11072,1,50,1,158
5.82371,43.10092,1,50,1,310
0.33715,46.59746,1,50,1,7
0.36285,46.58840,1,50,1,301
0.71141,46.40449,1,50,1,246
1.06396,46.12277,1,50,1,262
1.28822,45.82519,1,50,1,147
1.23705,45.80561,1,50,1,214
1.14427,46.16706,1,50,1,209
1.24378,45.82160,1,50,1,93
1.25379,45.81453,1,50,1,342
1.29327,46.19876,1,50,1,71
6.77597,48.16685,1,50,1,331
3.84023,47.51232,1,50,2,124
3.73276,47.98357,1,50,1,188
3.26637,48.22802,1,50,1,332
3.65176,47.85470,1,50,1,262
6.92383,47.67198,1,50,1,210
6.85225,47.64121,1,50,1,88
2.41834,48.64797,1,50,1,323
2.50005,48.71964,1,50,1,175
2.39365,48.68794,1,50,1,103
2.43007,48.70310,1,50,1,250
2.34007,48.66511,1,50,1,9
2.22406,48.83804,1,50,1,182
2.22470,48.86800,1,50,1,111
2.20176,48.82584,1,50,1,93
2.22430,48.81546,1,50,1,69
2.30166,48.73627,1,50,1,11
2.21079,48.88631,1,50,1,278
2.24087,48.88676,1,50,1,89
2.25283,48.82256,1,50,1,64
2.22662,48.84544,1,50,1,196
2.25891,48.80727,1,50,1,355
2.19795,48.80887,1,50,1,256
2.20610,48.89034,1,50,1,50
2.23867,48.87538,1,50,1,43
2.26330,48.89787,1,50,1,146
2.38802,48.93971,1,50,1,353
2.55625,48.85008,1,50,1,284
2.39301,48.90460,1,50,1,216
2.36494,48.94229,1,50,1,309
2.43957,48.77292,1,50,1,171
2.44369,48.72264,1,50,1,27
2.50879,48.74899,1,50,1,335
2.49820,48.81702,1,50,1,289
2.42679,48.84567,1,50,1,278
2.42756,48.81274,1,50,1,129
2.36197,48.98403,1,50,1,166
2.20092,48.99139,1,50,1,305
2.37912,48.98679,1,50,1,244
2.40501,48.96916,1,50,1,134
-61.56318,16.09641,1,50,1,8
-54.03156,5.49168,1,50,1,23
-52.31493,4.94468,1,50,1,256
-52.47693,5.01545,1,50,1,129
3.13488,43.59687,1,60,1,70
3.13540,43.59701,1,60,1,250
-61.06524,14.61146,1,60,1,347
6.06622,46.30653,1,70,1,174
5.59927,46.16131,1,70,1,134
5.46968,45.78025,1,70,1,153
3.28422,49.83833,1,70,1,161
3.46112,49.61775,1,70,0,0
3.45743,46.17010,1,70,1,5
2.62205,46.31814,1,70,1,347
3.37716,46.12853,1,70,1,99
3.77263,46.30389,1,70,1,196
6.26492,44.00957,1,70,1,274
5.60337,43.85714,1,70,1,104
6.16073,44.50641,1,70,1,209
7.20723,43.66578,1,70,1,81
7.19764,43.68588,1,70,1,348
7.18506,43.65800,1,70,1,252
7.18416,43.65763,1,70,1,71
7.19772,43.68574,1,70,1,166
7.06148,43.60442,1,70,1,308
7.34928,43.72657,1,70,1,248
7.27679,43.77700,1,70,1,182
7.24280,43.69206,1,70,1,222
7.10401,43.65950,1,70,2,135
4.18897,44.35990,1,70,1,231
4.65450,44.70528,1,70,1,91
4.29692,44.65936,1,70,1,355
4.77980,45.24801,1,70,1,87
4.39639,44.62117,1,70,1,108
1.87868,43.09624,1,70,1,275
1.24309,43.18251,1,70,1,310
2.92011,43.30645,1,70,1,80
2.33305,44.52472,1,70,1,310
5.42233,43.55371,1,70,1,136
5.55337,43.64408,1,70,1,83
-0.33277,49.18954,1,70,1,148
-0.57001,49.22983,1,70,1,122
-0.56274,49.22739,1,70,1,297
-0.51518,49.17680,1,70,1,80
-0.23819,48.88642,1,70,1,86
-0.49274,48.89024,1,70,1,92
-0.79766,49.21593,1,70,1,53
-0.98785,48.84027,1,70,1,92
-0.18872,49.23944,1,70,1,205
2.52989,45.44030,1,70,1,61
0.14468,45.63947,1,70,1,340
0.69325,45.87334,1,70,1,47
0.13489,45.63024,1,70,1,115
0.50364,45.85097,1,70,1,223
0.18496,45.85372,1,70,1,349
-0.99229,46.31879,1,70,1,168
-0.75156,45.73514,1,70,1,245
-0.55516,45.55669,1,70,1,10
2.50869,46.99607,1,70,1,317
2.72755,47.01201,1,70,1,299
2.72270,47.01312,1,70,1,119
9.26940,41.58138,1,70,1,125
9.48234,42.61109,1,70,1,146
9.38202,42.51099,1,70,1,242
9.36527,42.50642,1,70,1,81
8.91866,41.66381,1,70,1,119
9.50566,42.58684,1,70,1,347
9.54668,42.25679,1,70,1,11
9.54874,42.26642,1,70,1,185
9.50998,42.57888,1,70,1,344
9.51618,42.57607,1,70,1,155
8.77184,41.98772,1,70,1,138
8.75396,42.04285,1,70,1,328
5.00139,47.27054,1,70,1,21
5.00411,47.32789,1,70,1,120
4.99647,47.34612,1,70,1,332
-2.60981,48.50839,1,70,1,223
-3.06766,48.57889,1,70,1,255
-2.08635,48.38891,1,70,1,29
-3.14897,48.31372,1,70,1,64
0.51420,44.87802,1,70,1,269
1.24400,44.86979,1,70,1,305
0.51888,44.85416,1,70,1,85
0.52100,44.85466,1,70,1,273
5.96160,47.22210,1,70,1,70
5.99402,47.20115,1,70,1,50
6.55841,47.13248,1,70,1,139
6.84100,47.45922,1,70,1,25
6.70289,47.46525,1,70,1,57
6.72501,47.50309,1,70,1,207
1.28539,49.17168,1,70,1,300
0.75463,49.22654,1,70,1,220
0.92940,49.10448,1,70,1,110
1.16005,48.77143,1,70,1,262
1.46659,48.48523,1,70,1,52
1.23664,48.06847,1,70,1,276
1.53477,48.84650,1,70,1,110
4.29020,43.77855,1,70,1,228
0.63045,42.99039,1,70,1,177
0.63671,43.07733,1,70,1,243
0.61930,43.01797,1,70,1,34
1.36922,43.74314,1,70,1,158
-0.55534,44.88344,1,70,1,287
3.84179,43.59881,1,70,1,324
3.92250,43.60739,1,70,1,259
3.92289,43.60756,1,70,1,79
-2.01516,48.61628,1,70,1,136
-1.90255,48.64735,1,70,1,295
-2.10603,48.59348,1,70,1,71
-1.79361,48.05880,1,70,1,82
-2.08536,47.70162,1,70,1,169
-1.96836,48.62915,1,70,1,78
0.54924,47.56484,1,70,1,163
0.43925,47.30558,1,70,1,66
0.89584,47.21419,1,70,1,140
5.75396,45.06662,1,70,1,27
5.35586,45.56783,1,70,1,264
5.79034,45.05061,1,70,1,240
5.58431,46.71360,1,70,1,26
-1.10739,44.45198,1,70,1,50
-1.10747,44.45198,1,70,1,231
1.34728,47.60356,1,70,1,140
0.82488,47.91627,1,70,1,62
1.30479,47.56755,1,70,1,211
1.07419,47.79693,1,70,1,344
1.69669,47.32975,1,70,1,48
1.41660,47.53422,1,70,1,124
1.07378,47.79745,1,70,1,164
4.37975,45.46513,1,70,1,148
3.93314,46.12423,1,70,1,300
4.30620,45.36889,1,70,1,350
4.43020,45.43440,1,70,1,52
4.39471,45.41034,1,70,1,66
4.09440,45.73821,1,70,1,276
4.41017,45.42011,1,70,2,41
4.40541,45.41621,1,70,1,42
3.50194,45.20224,1,70,1,161
3.50260,45.20161,1,70,1,334
-1.85386,47.19475,1,70,1,135
-1.49583,47.26200,1,70,1,236
-1.64995,47.21873,1,70,1,104
-1.25363,47.35393,1,70,1,233
-1.52122,47.25397,1,70,1,109
-2.31050,47.28254,1,70,1,293
-2.31163,47.28290,1,70,1,117
2.76373,48.15247,1,70,1,177
1.97157,47.86327,1,70,1,115
1.74325,47.85371,1,70,1,239
1.76194,47.93453,1,70,1,256
1.84498,47.87443,1,70,1,66
2.95813,48.02814,1,70,1,264
1.99632,44.64640,1,70,1,151
0.33532,44.20462,1,70,1,21
0.69375,44.17177,1,70,1,123
0.61936,44.16132,1,70,1,317
0.35865,44.62097,1,70,1,191
-0.54888,47.48394,1,70,1,202
-0.56568,47.46789,1,70,1,39
-0.90186,47.07064,1,70,1,211
-0.41588,47.41959,1,70,1,98
-1.13344,48.58703,1,70,1,103
-1.63360,49.62940,1,70,1,68
-1.56812,48.80448,1,70,1,166
4.36042,48.94744,1,70,1,63
4.03275,49.22973,1,70,1,225
3.88627,49.27310,1,70,1,101
3.92402,49.05149,1,70,1,280
4.65990,48.70583,1,70,1,294
4.58314,48.76774,1,70,1,138
5.15671,48.37669,1,70,1,6
5.65376,47.77587,1,70,1,122
5.03105,48.60308,1,70,1,133
5.05028,48.13870,1,70,1,207
5.29270,47.66112,1,70,1,212
-0.77101,48.05883,1,70,1,105
-0.29371,48.14581,1,70,1,117
-0.77103,48.05897,1,70,1,285
5.89375,48.65083,1,70,1,41
5.12131,48.74904,1,70,1,297
6.06333,49.23265,1,70,1,30
3.11781,46.99567,1,70,1,68
3.10227,47.00050,1,70,1,295
3.92934,50.28078,1,70,1,265
3.08572,50.63437,1,70,1,55
2.41717,50.75635,1,70,1,54
2.41950,50.75843,1,70,1,209
2.89523,49.18453,1,70,1,231
1.78118,49.45892,1,70,1,119
2.99338,49.23506,1,70,1,235
2.98271,49.23045,1,70,1,58
2.24651,49.36734,1,70,1,340
2.67991,49.14567,1,70,1,139
1.85042,49.28119,1,70,1,288
-0.01778,48.74912,1,70,1,104
-0.43174,48.72980,1,70,1,305
2.10885,50.80294,1,70,1,297
2.78407,50.30107,1,70,1,188
2.22267,50.39197,1,70,1,109
1.62521,50.70277,1,70,2,155
3.11924,45.78495,1,70,1,14
3.12503,45.75853,1,70,1,127
3.15839,45.94621,1,70,1,33
3.07982,46.03162,1,70,1,340
2.69684,45.60321,1,70,1,219
3.11930,45.76237,1,70,1,152
-1.52418,43.49390,1,70,1,278
-1.61680,43.41265,1,70,1,61
-0.32431,43.30403,1,70,1,291
-1.71216,43.36192,1,70,1,91
-1.63715,43.36955,1,70,1,335
-1.36810,43.49251,1,70,1,254
0.13226,43.33899,1,70,1,195
0.10833,43.27615,1,70,1,16
2.92111,42.62429,1,70,1,176
7.80735,48.63970,1,70,1,224
7.73899,48.57074,1,70,1,273
7.54086,48.33879,1,70,1,38
7.38554,47.59934,1,70,1,298
7.32108,48.26890,1,70,1,252
4.75652,45.82665,1,70,1,138
4.80262,45.76350,1,70,1,135
4.81773,45.73326,1,70,1,211
4.89201,45.72378,1,70,1,65
4.84685,45.71605,1,70,1,263
4.54476,45.86776,1,70,1,126
6.15975,47.63313,1,70,1,309
4.84243,46.78970,1,70,1,152
4.83818,46.31117,1,70,1,203
3.74104,46.62821,1,70,1,109
4.94081,46.55716,1,70,1,270
4.32088,47.00845,1,70,1,179
4.86204,46.37650,1,70,1,31
4.85270,46.89440,1,70,1,345
0.31551,47.80283,1,70,1,241
0.20043,47.97952,1,70,1,89
0.75317,47.92951,1,70,1,276
6.68301,45.19316,1,70,1,153
6.51938,45.49285,1,70,1,340
6.73948,45.58286,1,70,1,222
6.51932,45.49320,1,70,1,337
6.86332,45.90048,1,70,2,137
6.08704,46.05158,1,70,1,342
6.46115,46.34075,1,70,1,64
5.88413,46.04541,1,70,1,159
6.00530,46.00181,1,70,1,191
2.30977,48.89656,1,70,1,240
2.39627,48.89002,1,70,1,347
2.37965,48.82205,1,70,1,228
2.25452,48.85432,1,70,1,225
2.28797,48.88569,1,70,1,47
2.41380,48.86087,1,70,1,175
2.28080,48.83241,1,70,1,301
2.31002,48.82344,1,70,1,109
2.36206,48.90074,1,70,1,91
2.29871,48.82604,1,70,1,288
2.26920,48.86735,1,70,1,24
2.41325,48.86964,1,70,1,180
2.41439,48.84557,1,70,1,7
2.37517,48.90049,1,70,1,279
2.45676,48.81854,1,70,1,233
2.37018,48.81859,1,70,1,63
1.20049,49.44537,1,70,1,230
0.81158,49.63276,1,70,1,58
0.81263,49.63322,1,70,1,238
1.98531,48.77027,1,70,1,241
2.07400,48.90582,1,70,1,180
2.06135,48.94527,1,70,1,172
1.89147,48.72465,1,70,1,41
1.72009,48.97845,1,70,1,186
2.11216,48.83441,1,70,1,352
2.15593,48.85597,1,70,1,208
2.14811,48.84647,1,70,1,22
2.14793,48.84647,1,70,1,201
2.15610,48.85597,1,70,1,28
2.15702,48.87085,1,70,1,353
2.17926,48.79333,1,70,1,358
2.14751,48.83230,1,70,1,346
2.15687,48.78310,1,70,1,324
2.15716,48.87096,1,70,1,155
-0.29695,46.57148,1,70,1,205
-0.46656,46.26276,1,70,1,0
-0.05719,46.29965,1,70,1,233
-0.05749,46.19166,1,70,1,117
-0.04834,46.18855,1,70,1,296
1.81983,50.15180,1,70,1,344
2.17164,43.96165,1,70,1,264
2.17126,43.96116,1,70,1,69
2.03063,43.56796,1,70,1,90
2.21327,43.92140,1,70,1,287
2.39182,43.89831,1,70,1,279
1.15033,44.12417,1,70,1,225
1.35979,44.05655,1,70,1,202
6.61055,43.23544,1,70,1,354
6.48663,43.49300,1,70,1,46
4.94789,43.93483,1,70,1,192
4.79775,44.11974,1,70,1,28
4.84203,43.92807,1,70,1,304
4.94792,43.93261,1,70,1,353
5.05715,43.87441,1,70,1,100
5.05895,43.87428,1,70,1,281
4.80936,43.92178,1,70,1,2
-1.67341,46.71916,1,70,1,246
-1.41624,46.70486,1,70,1,12
0.35572,46.62904,1,70,1,196
0.19731,46.75883,1,70,1,163
0.49929,46.84952,1,70,1,320
0.33574,46.55530,1,70,1,57
0.33969,46.81610,1,70,1,275
0.83975,46.41625,1,70,1,73
1.11848,46.05173,1,70,1,352
1.15917,45.98393,1,70,1,163
1.11626,45.86902,1,70,1,128
0.96004,46.16412,1,70,1,2
0.95038,46.17132,1,70,1,140
1.27687,45.86659,1,70,2,28
6.72730,47.89995,1,70,1,89
7.11672,48.28830,1,70,1,126
3.60509,47.74033,1,70,1,338
3.44007,48.18507,1,70,1,50
3.71330,47.91781,1,70,1,174
3.26081,48.17207,1,70,1,156
6.83217,47.72213,1,70,1,173
2.27990,48.67024,1,70,1,195
2.37070,48.71963,1,70,1,178
2.25357,48.61160,1,70,1,22
2.25161,48.88747,1,70,1,115
2.26477,48.88348,1,70,1,297
2.29058,48.90643,1,70,1,51
2.15154,48.82681,1,70,1,3
2.24090,48.88686,1,70,1,296
2.25648,48.89011,1,70,1,40
2.47243,48.88293,1,70,1,322
2.45088,48.78993,1,70,1,327
2.33754,48.81117,1,70,1,329
2.54853,48.72771,1,70,1,269
2.54853,48.72771,1,70,1,87
2.09800,49.01947,1,70,1,48
2.41540,49.08861,1,70,1,348
55.48872,-20.88669,1,70,1,274
-61.48257,16.21713,1,70,1,104
-61.62963,16.20810,1,70,1,44
-53.99370,5.48700,1,70,1,268
-52.37134,4.91102,1,70,1,140
4.79281,43.79629,1,80,1,76
3.31595,43.82707,1,80,1,156
6.91144,47.88731,1,80,1,94
5.29046,46.21169,1,90,1,270
5.32739,45.95796,1,90,1,210
5.16881,45.88422,1,90,1,217
5.08017,46.05981,1,90,1,34
5.30453,46.31284,1,90,1,6
5.29136,46.12949,1,90,1,340
4.87090,46.04892,1,90,1,222
4.91509,45.88462,1,90,1,246
5.10756,46.18537,1,90,1,71
5.77408,45.80665,1,90,1,192
5.43409,46.07651,1,90,1,288
5.17572,46.00758,1,90,1,206
5.10121,45.92778,1,90,1,278
4.92702,46.41212,1,90,1,204
4.96024,46.13608,1,90,1,184
5.12200,46.36389,1,90,1,350
5.01672,46.26437,1,90,1,112
5.00186,45.96019,1,90,1,44
5.57588,46.80210,1,90,1,36
5.29771,45.85063,1,90,1,196
4.91853,45.80859,1,90,1,132
3.17412,49.39698,1,90,1,283
3.70666,49.68326,1,90,1,18
3.48049,49.36324,1,90,1,135
4.11864,49.89134,1,90,1,134
3.23868,49.94760,1,90,1,157
3.62048,49.54975,1,90,1,51
3.34837,49.46620,1,90,1,354
3.34219,49.90927,1,90,1,39
3.91823,49.98820,1,90,1,185
3.37092,49.21530,1,90,1,190
3.52490,49.06570,1,90,1,219
3.63422,49.31041,1,90,1,266
3.87790,49.81876,1,90,1,230
3.27016,49.69800,1,90,1,57
3.75292,49.51769,1,90,1,344
3.50461,49.60708,1,90,1,106
3.75368,49.52449,1,90,1,208
3.65056,49.31022,1,90,1,100
3.34036,49.36241,1,90,1,61
3.34036,49.36241,1,90,1,241
3.36876,46.46566,1,90,1,5
3.48899,46.26865,1,90,1,119
3.28454,46.23538,1,90,1,7
3.28539,46.34591,1,90,1,164
3.36773,46.45823,1,90,1,186
3.34460,46.48798,1,90,2,233
3.42782,46.24202,1,90,1,187
3.47687,46.59104,1,90,1,250
3.66824,46.54067,1,90,1,86
2.86739,46.32201,1,90,1,283
3.38327,46.07459,1,90,1,14
3.46112,46.08291,1,90,1,334
3.48826,46.18969,1,90,1,212
3.56673,46.53538,1,90,1,275
3.32540,46.31616,1,90,1,263
2.61694,46.58889,1,90,1,347
3.47239,46.51738,1,90,1,64
3.02925,46.37619,1,90,1,192
3.69660,46.24853,1,90,1,216
3.29539,46.38114,1,90,1,39
3.90514,46.45621,1,90,1,95
3.35897,46.43081,1,90,1,26
3.83082,46.47996,1,90,1,320
3.02275,46.36421,1,90,1,45
5.86368,43.88565,1,90,1,57
5.83221,43.85747,1,90,1,224
5.99326,44.11618,1,90,1,136
6.01980,44.07628,1,90,1,331
6.13938,44.04815,1,90,1,245
6.10999,44.03618,1,90,1,75
6.20679,44.05891,1,90,1,0
6.73996,43.96280,1,90,1,238
6.48157,43.96018,1,90,1,281
5.86388,44.26025,1,90,1,307
6.47880,44.39692,1,90,1,110
5.83300,43.89705,1,90,1,98
6.60126,44.92675,1,90,1,123
6.15401,44.57723,1,90,1,272
6.03465,44.47589,1,90,1,188
6.36340,44.52950,1,90,1,77
6.60479,44.66070,1,90,1,236
6.08641,44.64779,1,90,1,8
5.92012,44.56198,1,90,1,270
5.79879,44.32322,1,90,1,120
6.05070,44.52228,1,90,1,154
6.50670,44.56184,1,90,1,193
6.03808,44.70884,1,90,1,141
7.07407,43.65857,1,90,1,179
7.25209,43.73435,1,90,1,99
7.29538,43.73278,1,90,1,271
4.64328,44.73792,1,90,1,67
4.73294,45.28779,1,90,1,202
4.68459,44.44768,1,90,1,10
4.78682,44.94130,1,90,1,322
4.33882,44.52664,1,90,1,187
4.62395,44.57272,1,90,1,49
4.26696,44.39704,1,90,1,218
4.70327,49.74891,1,90,1,173
5.09246,49.67529,1,90,1,95
4.37620,49.53425,1,90,1,215
4.57762,49.46877,1,90,1,4
4.71817,49.39835,1,90,1,289
4.74259,49.80776,1,90,1,336
4.62919,49.86257,1,90,1,18
4.23203,49.60038,1,90,1,321
4.24704,49.58602,1,90,1,151
4.63074,49.89056,1,90,1,146
4.39059,49.87185,1,90,1,276
4.57480,49.37335,1,90,1,182
4.56406,49.34592,1,90,1,209
4.42786,49.72735,1,90,1,220
1.60993,43.19700,1,90,1,173
1.83419,42.64974,1,90,1,32
1.89734,43.03486,1,90,1,6
1.77205,42.75118,1,90,1,340
1.58982,43.02401,1,90,1,118
1.63884,42.91705,1,90,1,351
1.19630,42.99555,1,90,1,259
3.85517,48.49410,1,90,1,137
3.69970,48.24247,1,90,1,250
4.02425,48.24583,1,90,1,198
4.00419,48.20367,1,90,1,18
4.24450,48.15769,1,90,1,302
4.37899,48.09871,1,90,1,166
3.49417,48.48272,1,90,1,275
4.61038,48.26738,1,90,1,55
4.10432,48.35845,1,90,1,186
4.36824,48.39676,1,90,1,212
3.46002,48.47219,1,90,1,246
4.08532,48.26142,1,90,1,120
3.89603,48.46100,1,90,1,327
3.95664,48.28647,1,90,1,88
4.44002,48.23800,1,90,1,264
